"group1","group2","weight"
"Nashville CocoaHeads","Nash.rb",2
"Nashville CocoaHeads","Nashville Christian Technologists and Entrepreneurs",1
"Nashville CocoaHeads","Stepping Out Social Dance Meetup",1
"Nashville CocoaHeads","NashReact",2
"Nashville CocoaHeads","WordPress Nashville",1
"Nashville CocoaHeads","freeCodeCamp Nashville",2
"Nashville CocoaHeads","Developer Launchpad Nashville",2
"Nashville CocoaHeads","Savvy Coders - Nashville",2
"Nashville CocoaHeads","Eat Love Nash",1
"Nashville CocoaHeads","Let's Talk Franklin Toastmasters Club",1
"Nashville CocoaHeads","Nashville PHP User Group",2
"Nashville CocoaHeads","Nashvegans!",1
"Nashville CocoaHeads","Volunteer Nashville",1
"Nashville CocoaHeads","Nashville Modern Excel & Power BI User Group",1
"Nashville CocoaHeads","Nashville Mobile .NET Developers",1
"Nashville CocoaHeads","20s in Nashville",1
"Nashville CocoaHeads","Nashville .NET User Group",2
"Nashville CocoaHeads","Nashville Blockchain Meetup",1
"Nashville CocoaHeads","Nashville Salesforce Admins & Developers Group",1
"Nashville CocoaHeads","PyNash",5
"Nashville CocoaHeads","Nashville Software Automation Professionals",1
"Nashville CocoaHeads","Nashville Software Beginners",1
"Nashville CocoaHeads","Nashville Java Users' Group",1
"Nashville CocoaHeads","Code for Nashville",5
"Nashville CocoaHeads","Nashville UX",6
"Nashville CocoaHeads","NashMicro - The Nashville Microcontroller Makers Group",3
"Nashville CocoaHeads","Nash |> Elixir",1
"Nashville CocoaHeads","Nashville Women Programmers",3
"Nashville CocoaHeads","Data Science Nashville",2
"Nashville CocoaHeads","Nashville Mobile Developers",12
"Nashville CocoaHeads","Nashville Machine Learning Meetup",1
"Nashville CocoaHeads","Nashville Game Developers",1
"Nashville CocoaHeads","WOMEN ""Word of Mouth Entrepreneurial Networkers""",1
"Nashville CocoaHeads","Franklin Developer Lunch & Learn",1
"Nashville CocoaHeads","¡Diablos Que Bailan! (Salsa Nashville)",2
"Nashville CocoaHeads","NashJS",5
"Nashville CocoaHeads","Nashville Music Programmers",1
"THE GARDEN OF GOOD","What the Pho!",1
"THE GARDEN OF GOOD","Interfaith Scripture Study",1
"THE GARDEN OF GOOD","Stepping Out Social Dance Meetup",2
"THE GARDEN OF GOOD","Thinking Christians Book Club",1
"THE GARDEN OF GOOD","B'nei Mikra Nashville (Torah Study)",1
"THE GARDEN OF GOOD","SCORE Nashville Events, Networking and Workshops",1
"THE GARDEN OF GOOD","Movie Lovers:  New, Classic, and Foreign Films Meetup",1
"THE GARDEN OF GOOD","Middle TN 40+ singles",1
"THE GARDEN OF GOOD","Nashville Christian Singles",2
"THE GARDEN OF GOOD","Nashville Kayak Lessons",1
"Music Industry Forum- Who kNew Nashville","Happy Hour Networking for Charity",1
"Music Industry Forum- Who kNew Nashville","Nashville Young Professionals Meetup",1
"Music Industry Forum- Who kNew Nashville","The Nashville Songwriters Meetup Group",1
"Music Industry Forum- Who kNew Nashville","Stepping Out Social Dance Meetup",2
"Music Industry Forum- Who kNew Nashville","Nashville UX",2
"Music Industry Forum- Who kNew Nashville","NashMicro - The Nashville Microcontroller Makers Group",1
"Music Industry Forum- Who kNew Nashville","The Nashville Chinese Language and Culture Meetup Group",1
"Music Industry Forum- Who kNew Nashville","Eat Love Nash",1
"Music Industry Forum- Who kNew Nashville","Networking for Charity",1
"Music Industry Forum- Who kNew Nashville","Nashville Music-Technology Group",1
"Music Industry Forum- Who kNew Nashville","Nashville Hiking Meetup",1
"Music Industry Forum- Who kNew Nashville","Nashville Wakeboarding and surfing Meetup",1
"Music Industry Forum- Who kNew Nashville","Design Thinking Nashville",2
"Music Industry Forum- Who kNew Nashville","The Nashville Singer, Musician and Songwriter Meetup Group",1
"Music Industry Forum- Who kNew Nashville","Nashville Investment Angels",1
"Music Industry Forum- Who kNew Nashville","Volunteer Nashville",1
"Music Industry Forum- Who kNew Nashville","Nashville Networking Business Luncheon",1
"Music Industry Forum- Who kNew Nashville","20s in Nashville",1
"Music Industry Forum- Who kNew Nashville","Christian Business Leaders Roundtable | CEO Fellowship",1
"Music Industry Forum- Who kNew Nashville","20's & 30's Women looking for girlfriends",1
"Music Industry Forum- Who kNew Nashville","Nashville Blockchain Meetup",1
"Music Industry Forum- Who kNew Nashville","Franklin AM - Networking",1
"Music Industry Forum- Who kNew Nashville","Middle Tennessee Entrepreneurs MasterMind Meetup",1
"Music Industry Forum- Who kNew Nashville","Middle TN 40+ singles",1
"Music Industry Forum- Who kNew Nashville","Nashville Product Meetup",1
"Music Industry Forum- Who kNew Nashville","Women 'n' Wine of Nashville",1
"Nashville Women of a Certain Age Meetup","Nashville Online Business Strategy Meetup",1
"Nashville Women of a Certain Age Meetup","Middle Tennessee Sierra Club Outings and Adventures",2
"Nashville Women of a Certain Age Meetup","Nashville Sailing",1
"Nashville Women of a Certain Age Meetup","Mount Juliet/Wilson County Hiking & Outdoors",1
"Nashville Women of a Certain Age Meetup","Stepping Out Social Dance Meetup",3
"Nashville Women of a Certain Age Meetup","Tennessee Americans United for Separation of Church & State",2
"Nashville Women of a Certain Age Meetup","Bellevue Business Networking Meetup",1
"Nashville Women of a Certain Age Meetup","The Nashville Girly Book Club",1
"Nashville Women of a Certain Age Meetup","Tennessee Hiking Group",1
"Nashville Women of a Certain Age Meetup","Eat Love Nash",2
"Nashville Women of a Certain Age Meetup","Tails of the Trail",2
"Nashville Women of a Certain Age Meetup","Nashville Quantum Energy Play Group",1
"Nashville Women of a Certain Age Meetup","Nashville Hiking Meetup",1
"Nashville Women of a Certain Age Meetup","East Nashville Book Club",1
"Nashville Women of a Certain Age Meetup","Blues Dance Nashville",1
"Nashville Women of a Certain Age Meetup","Nashvegans!",1
"Nashville Women of a Certain Age Meetup","Nashville Outdoor Adventures Club",1
"Nashville Women of a Certain Age Meetup","You are a Badass!",1
"Nashville Women of a Certain Age Meetup","Volunteer Nashville",1
"Nashville Women of a Certain Age Meetup","One Dharma Nashville Meditation Group",2
"Nashville Women of a Certain Age Meetup","The Joy of Dining Out with Friends Meetup",2
"Nashville Women of a Certain Age Meetup","The Wild Woman Project - Nashville",1
"Nashville Women of a Certain Age Meetup","Nashville Comedy Meetup",1
"Nashville Women of a Certain Age Meetup","Nashville Classic and Contemporary Fiction Group (for women)",1
"Nashville Women of a Certain Age Meetup","Outdoor Fit - HIIT",1
"Nashville Women of a Certain Age Meetup","SoulScaped Living",1
"Nashville Women of a Certain Age Meetup","Marigolds Author Group + Travel Club for Christian Women 50+",1
"Nashville Women of a Certain Age Meetup","Paddle Adventures Unlimited",2
"Nashville Women of a Certain Age Meetup","Nashville Kayak Lessons",2
"Nashville Women of a Certain Age Meetup","What the Pho!",2
"Nashville Women of a Certain Age Meetup","Women 'n' Wine of Green Hills",1
"Nashville Women of a Certain Age Meetup","Women's  Business Network",3
"Nashville Women of a Certain Age Meetup","Pranic Healing Nashville",1
"Nashville Women of a Certain Age Meetup","Bellevue Area Meetup: Meet New Friends!",3
"Nashville Women of a Certain Age Meetup","Transplant Nashville",1
"Nashville Women of a Certain Age Meetup","SCORE Nashville Events, Networking and Workshops",1
"Nashville Women of a Certain Age Meetup","Free & Cheap Events",1
"Nashville Women of a Certain Age Meetup","Donelson Networking Group",1
"Nashville Women of a Certain Age Meetup","Agile Nashville User Group",1
"Nashville Women of a Certain Age Meetup","Nashville Christian Singles",2
"Nashville Women of a Certain Age Meetup","Nashville Online Entrepreneurs",1
"Nashville Women of a Certain Age Meetup","Nashville Farm to Fork",1
"Nashville Women of a Certain Age Meetup","Thrills and Chills Book Club",1
"Nashville Women of a Certain Age Meetup","Women 'n' Wine of Williamson County",1
"Nashville Women of a Certain Age Meetup","Circle Bliss ~ Nashville ~ Energy Healing ~ Ataana Method",1
"Nashville Women of a Certain Age Meetup","Thinking Christians Book Club",1
"Nashville Women of a Certain Age Meetup","All Things Gardening",2
"Nashville Women of a Certain Age Meetup","WOMEN ""Word of Mouth Entrepreneurial Networkers""",1
"Nashville Women of a Certain Age Meetup","Music City Jazz Fans",1
"Nashville Women of a Certain Age Meetup","Sunday Assembly Nashville",3
"Nashville Women of a Certain Age Meetup","Black Women Read Book Club",1
"Nashville Women of a Certain Age Meetup","Team Green Adventures",1
"Nashville Women of a Certain Age Meetup","Conscious Transformation - Nashville",2
"Nashville Women of a Certain Age Meetup","Nashville Longevity Communities",1
"Nashville Women of a Certain Age Meetup","Movie Lovers:  New, Classic, and Foreign Films Meetup",3
"Nashville Women of a Certain Age Meetup","Make Nashville Meetup",1
"Nashville Women of a Certain Age Meetup","Middle TN 40+ singles",2
"Nashville Women of a Certain Age Meetup","Nashville ADHD Adults",1
"Nashville Women of a Certain Age Meetup","NASHVILLE REIKI & OILS",1
"Nashville Women of a Certain Age Meetup","North Nashville Party Chicks",3
"Nashville Women of a Certain Age Meetup","Nashville Holistic Association",1
"Nashville Women of a Certain Age Meetup","Women 'n' Wine of Nashville",1
"Mindful Cyborgs Meditation","Nash.rb",1
"Mindful Cyborgs Meditation","Code for Nashville",2
"Mindful Cyborgs Meditation","Nashville Sailing",1
"Mindful Cyborgs Meditation","Nashville Linux Users Group",1
"Mindful Cyborgs Meditation","The Iron Yard - Nashville",1
"Mindful Cyborgs Meditation","Nashville Daoist (Taoist) & Chinese Philosophy Meetup Group",1
"Mindful Cyborgs Meditation","WordPress Nashville",1
"Mindful Cyborgs Meditation","Free & Cheap Events",1
"Mindful Cyborgs Meditation","Nashville Shambhala Meditation Group",1
"Mindful Cyborgs Meditation","Nashville UX",1
"Mindful Cyborgs Meditation","Developer Launchpad Nashville",1
"Mindful Cyborgs Meditation","NashMicro - The Nashville Microcontroller Makers Group",1
"Mindful Cyborgs Meditation","MTRAS ~ MidTn Robotic Arts Society",1
"Mindful Cyborgs Meditation","Savvy Coders - Nashville",1
"Mindful Cyborgs Meditation","Nashville Women Programmers",1
"Mindful Cyborgs Meditation","Nashville Mobile Developers",1
"Mindful Cyborgs Meditation","NashSec",1
"Mindful Cyborgs Meditation","Nashville Spanish Meetup",1
"Mindful Cyborgs Meditation","Nashville Machine Learning Meetup",1
"Mindful Cyborgs Meditation","Lesbians in the Workplace, Nashville",1
"Mindful Cyborgs Meditation","NashJS",1
"Mindful Cyborgs Meditation","Nashville Software Beginners",1
"20s/30s Nashville Online Dating Rebellion!","Nashville Young Professionals Meetup",1
"20s/30s Nashville Online Dating Rebellion!","Music City Drinking Buddies",1
"20s/30s Nashville Online Dating Rebellion!","The Nashville Big Red Machine",1
"20s/30s Nashville Online Dating Rebellion!","Transplant Nashville",3
"20s/30s Nashville Online Dating Rebellion!","Climb Nashville Meetup",1
"20s/30s Nashville Online Dating Rebellion!","20s in Nashville",3
"20s/30s Nashville Online Dating Rebellion!","Chicago Cubs, Blackhawks and Bears Fans near Nashville",1
"20s/30s Nashville Online Dating Rebellion!","Nashville Foam Fighting - Dur Demarion - Belegarth",1
"20s/30s Nashville Online Dating Rebellion!","Fun Happenings Social Group-Nashvilles Most Fun Social Group",1
"20s/30s Nashville Online Dating Rebellion!","Nashville Purely Social and Super-Awesome Social Group",2
"20s/30s Nashville Online Dating Rebellion!","Nashville Network After Work - Business Networking Events",1
"Nashville Foam Fighting - Dur Demarion - Belegarth","Code for Nashville",1
"Nashville Foam Fighting - Dur Demarion - Belegarth","Stepping Out Social Dance Meetup",1
"Nashville Foam Fighting - Dur Demarion - Belegarth","The Iron Yard - Nashville",1
"Nashville Foam Fighting - Dur Demarion - Belegarth","Free & Cheap Events",1
"Nashville Foam Fighting - Dur Demarion - Belegarth","Nashville Science Fiction Book Club",1
"Nashville Foam Fighting - Dur Demarion - Belegarth","Nash |> Elixir",1
"Nashville Foam Fighting - Dur Demarion - Belegarth","Nashville Area Gamer Association - NAGA",3
"Nashville Foam Fighting - Dur Demarion - Belegarth","Nashville Chess and Chat Meetup",1
"Nashville Foam Fighting - Dur Demarion - Belegarth","Nashville Hiking Meetup",1
"Nashville Foam Fighting - Dur Demarion - Belegarth","Nashville Game Developers",1
"Nashville Foam Fighting - Dur Demarion - Belegarth","Nashville Flag Football",1
"Nashville Foam Fighting - Dur Demarion - Belegarth","20s in Nashville",2
"Nashville Foam Fighting - Dur Demarion - Belegarth","PyNash",1
"Nashville Foam Fighting - Dur Demarion - Belegarth","¡Diablos Que Bailan! (Salsa Nashville)",1
"Nashville Foam Fighting - Dur Demarion - Belegarth","Nashville Lisp Sync",1
"Wilson County Women Volunteering and Having Fun","Nashville 80s Music & More Meetup",1
"Wilson County Women Volunteering and Having Fun","Nashville Spanish Meetup",1
"Wilson County Women Volunteering and Having Fun","Events of the Camera Club Council of Tennessee",1
"Wilson County Women Volunteering and Having Fun","Stepping Out Social Dance Meetup",1
"Wilson County Women Volunteering and Having Fun","WOMEN ""Word of Mouth Entrepreneurial Networkers""",1
"Wilson County Women Volunteering and Having Fun","The Wild Woman Project - Nashville",1
"Wilson County Women Volunteering and Having Fun","20's & 30's Women looking for girlfriends",1
"Wilson County Women Volunteering and Having Fun","Her Heart Project",1
"Wilson County Women Volunteering and Having Fun","Nashville Ladies Volunteering and Having Fun",5
"Wilson County Women Volunteering and Having Fun","Intellectual Society of Greater Nashville",1
"Wilson County Women Volunteering and Having Fun","Middle TN 40+ singles",1
"Wilson County Women Volunteering and Having Fun","Nashville Christian Singles",1
"Wilson County Women Volunteering and Having Fun","Eat Love Nash",1
"Tennessee Hiking Group","Nashville Backpacker Meetup",7
"Tennessee Hiking Group","Nashville Wanderlusters",1
"Tennessee Hiking Group","Middle Tennessee Motorcycle Riders",1
"Tennessee Hiking Group","The Nashville Girly Book Club",1
"Tennessee Hiking Group","Mediumship and Intuitive Development Circle of Nashville",1
"Tennessee Hiking Group","Nashville Shambhala Meditation Group",1
"Tennessee Hiking Group","Eat Love Nash",10
"Tennessee Hiking Group","Tails of the Trail",7
"Tennessee Hiking Group","MHO Nashville Active Adventures",1
"Tennessee Hiking Group","Paid To Speak Entrepreneurs",1
"Tennessee Hiking Group","Nashville Hiking Meetup",44
"Tennessee Hiking Group","Nashville 80s Music & More Meetup",2
"Tennessee Hiking Group","Nashvegans!",1
"Tennessee Hiking Group","The Nashville Singer, Musician and Songwriter Meetup Group",2
"Tennessee Hiking Group","Middle Tennessee Kayak Lessons Meetup",1
"Tennessee Hiking Group","The Nashville Writers Meetup",1
"Tennessee Hiking Group","Nashville Modern Excel & Power BI User Group",1
"Tennessee Hiking Group","Lesbians in the Workplace, Nashville",2
"Tennessee Hiking Group","Nashville .NET User Group",2
"Tennessee Hiking Group","Science Club Nashville",1
"Tennessee Hiking Group","Euchre in Nashville",3
"Tennessee Hiking Group","Fun Happenings Social Group-Nashvilles Most Fun Social Group",1
"Tennessee Hiking Group","Intellectual Society of Greater Nashville",2
"Tennessee Hiking Group","Get Out 'N Game - Nashville",1
"Tennessee Hiking Group","The Middle TN Red Sox Nation Meetup Group",2
"Tennessee Hiking Group","Paddle Adventures Unlimited",8
"Tennessee Hiking Group","Nashville Kayak Lessons",1
"Tennessee Hiking Group","Nashville Rock Climbing MeetUP",1
"Tennessee Hiking Group","The Nashville Songwriters Meetup Group",1
"Tennessee Hiking Group","Nashville Cooking Lessons Meetup",1
"Tennessee Hiking Group","Nashville BarkHappy Dog Meetup",1
"Tennessee Hiking Group","Bellevue Area Meetup: Meet New Friends!",3
"Tennessee Hiking Group","Nashville SEO & Internet Marketing, Over 1,600 Members!",2
"Tennessee Hiking Group","Big East Fork Folk / Jazz Music Meetup",1
"Tennessee Hiking Group","Transplant Nashville",9
"Tennessee Hiking Group","The Iron Yard - Nashville",2
"Tennessee Hiking Group","1-on-1 Conversations Nashville",1
"Tennessee Hiking Group","Real Estate Investors of Nashville Meetup Group",4
"Tennessee Hiking Group","Hiking Club of Nashville and Suburbs",2
"Tennessee Hiking Group","R-Ladies Nashville",1
"Tennessee Hiking Group","Free & Cheap Events",1
"Tennessee Hiking Group","Nashville Psychic Meetup",2
"Tennessee Hiking Group","Nashville English Language Learning Meetup",2
"Tennessee Hiking Group","Brentwood TN Conversational Spanish Language Meetup Group",1
"Tennessee Hiking Group","Nashville Christian Singles",3
"Tennessee Hiking Group","Mid-TN Scrapbooking Club",1
"Tennessee Hiking Group","Data Science Nashville",2
"Tennessee Hiking Group","Nashville Online Entrepreneurs",1
"Tennessee Hiking Group","Thrills and Chills Book Club",1
"Tennessee Hiking Group","Design Thinking Nashville",1
"Tennessee Hiking Group","WOMEN ""Word of Mouth Entrepreneurial Networkers""",1
"Tennessee Hiking Group","Sunday Assembly Nashville",2
"Tennessee Hiking Group","20's & 30's Women looking for girlfriends",3
"Tennessee Hiking Group","the New World is in Order!",1
"Tennessee Hiking Group","Middle TN 40+ singles",14
"Tennessee Hiking Group","Strictly Belcourt",1
"Tennessee Hiking Group","North Nashville Party Chicks",3
"Tennessee Hiking Group","Nashville Product Meetup",1
"Tennessee Hiking Group","Nashville Online Business Strategy Meetup",1
"Tennessee Hiking Group","Middle Tennessee Sierra Club Outings and Adventures",1
"Tennessee Hiking Group","Nashville Young Professionals Meetup",3
"Tennessee Hiking Group","Middle Tennessee Hiking Meetup",30
"Tennessee Hiking Group","Mount Juliet/Wilson County Hiking & Outdoors",7
"Tennessee Hiking Group","Stepping Out Social Dance Meetup",18
"Tennessee Hiking Group","Bellevue Business Networking Meetup",1
"Tennessee Hiking Group","Greater Nashville Networking Group",1
"Tennessee Hiking Group","Walk and Talk Meetup",1
"Tennessee Hiking Group","Nashville Area Gamer Association - NAGA",1
"Tennessee Hiking Group","Never Bored in Nashville",1
"Tennessee Hiking Group","One Dharma Nashville Meditation Group",2
"Tennessee Hiking Group","Nashville Networking Business Luncheon",3
"Tennessee Hiking Group","The Joy of Dining Out with Friends Meetup",3
"Tennessee Hiking Group","20s in Nashville",6
"Tennessee Hiking Group","Dine and Unwind in East Nashville",1
"Tennessee Hiking Group","Nashville Classic and Contemporary Fiction Group (for women)",1
"Tennessee Hiking Group","Outdoor Fit - HIIT",1
"Tennessee Hiking Group","PyNash",3
"Tennessee Hiking Group","Franklin AM - Networking",1
"Tennessee Hiking Group","Nashville Tennis Meetup",3
"Tennessee Hiking Group","Bellevue Business Buzz Networking  Group",1
"Tennessee Hiking Group","What the Pho!",6
"Tennessee Hiking Group","Code for Nashville",2
"Tennessee Hiking Group","Brentwood Happy Hour / Dining Out Meetup",2
"Tennessee Hiking Group","Nashville Women & Beauty",1
"Tennessee Hiking Group","Music City Tango",1
"Tennessee Hiking Group","Nashville soccer",1
"Tennessee Hiking Group","Nashville Linux Users Group",1
"Tennessee Hiking Group","Climb Nashville Meetup",3
"Tennessee Hiking Group","Her Heart Project",2
"Tennessee Hiking Group","Greater Nashville Healthcare Analytics",1
"Tennessee Hiking Group","All Things Angular",1
"Tennessee Hiking Group","Nashville Ladies Volunteering and Having Fun",4
"Tennessee Hiking Group","Beer and Bible Nashville",1
"Tennessee Hiking Group","Agile Nashville User Group",3
"Tennessee Hiking Group","NashBI",1
"Tennessee Hiking Group","Nashville Women Programmers",1
"Tennessee Hiking Group","Women 'n' Wine of Williamson County",1
"Tennessee Hiking Group","Aussies in Nashville",1
"Tennessee Hiking Group","Franklin Developer Lunch & Learn",1
"Tennessee Hiking Group","Board Game Lovers Meetup",7
"Tennessee Hiking Group","Nashville Amazon Web Services User Group",1
"Tennessee Hiking Group","Advanced Audio + Applications Exchange (A3E) - Nashville",1
"Tennessee Hiking Group","CityWalks",2
"Tennessee Hiking Group","Team Green Adventures",8
"Tennessee Hiking Group","Couples New 2 Nashville & Know (almost) NoOne.  Ages 40 & Up",2
"Tennessee Hiking Group","Music City Young Professionals",1
"Tennessee Hiking Group","Conscious Transformation - Nashville",1
"Tennessee Hiking Group","¡Diablos Que Bailan! (Salsa Nashville)",1
"Tennessee Hiking Group","Movie Lovers:  New, Classic, and Foreign Films Meetup",2
"Tennessee Hiking Group","Business Connections Networking Group",1
"Tennessee Hiking Group","Nashville Purely Social and Super-Awesome Social Group",2
"Tennessee Hiking Group","NashJS",2
"Tennessee Hiking Group","Nashville Animal Advocacy",1
"Tennessee Hiking Group","Piano Music Lovers of Nashville",1
"Tennessee Hiking Group","The Greater Nashville RPG and Board Gamers Group",1
"Tennessee Hiking Group","Women 'n' Wine of Nashville",1
"Nashvegans!","Nash.rb",1
"Nashvegans!","Wellness Nashville",2
"Nashvegans!","Vegan Food & Friends",4
"Nashvegans!","The Middle TN Alternative Health Meetup Group",2
"Nashvegans!","WordPress Nashville",1
"Nashvegans!","Savvy Coders - Nashville",1
"Nashvegans!","Eat Love Nash",5
"Nashvegans!","Let's Talk Franklin Toastmasters Club",1
"Nashvegans!","Tails of the Trail",1
"Nashvegans!","Nashville Hiking Meetup",2
"Nashvegans!","The Nashville Writers Meetup",1
"Nashvegans!","Nashville Modern Excel & Power BI User Group",1
"Nashvegans!","Lesbians in the Workplace, Nashville",1
"Nashvegans!","Nashville Software Beginners",1
"Nashvegans!","Paddle Adventures Unlimited",1
"Nashvegans!","Spiritual Psychology and Consciousness Group",2
"Nashvegans!","Transplant Nashville",1
"Nashvegans!","Nashville Alternative Health & Wellness",2
"Nashvegans!","1-on-1 Conversations Nashville",1
"Nashvegans!","Free & Cheap Events",1
"Nashvegans!","Nashville UX",2
"Nashvegans!","Nashville Psychic Meetup",4
"Nashvegans!","Nashville English Language Learning Meetup",1
"Nashvegans!","Brentwood TN Conversational Spanish Language Meetup Group",1
"Nashvegans!","Nashville Christian Singles",1
"Nashvegans!","Transition Nashville",1
"Nashvegans!","Nashville Mobile Developers",1
"Nashvegans!","Inner Engineering Nashville (Isha Yoga & Meditation Classes)",1
"Nashvegans!","Design Thinking Nashville",1
"Nashvegans!","Nashville Spanish Meetup",2
"Nashvegans!","The Nashville TENNISseans",1
"Nashvegans!","Sunday Assembly Nashville",1
"Nashvegans!","TuneTown Show Chorus",1
"Nashvegans!","the New World is in Order!",1
"Nashvegans!","Middle TN 40+ singles",1
"Nashvegans!","Nashville ADHD Adults",2
"Nashvegans!","Nashville Product Meetup",1
"Nashvegans!","Oneness Nashville",1
"Nashvegans!","Middle Tennessee Sierra Club Outings and Adventures",1
"Nashvegans!","Nashville Young Professionals Meetup",2
"Nashvegans!","Mount Juliet/Wilson County Hiking & Outdoors",1
"Nashvegans!","Stepping Out Social Dance Meetup",1
"Nashvegans!","Tennessee Americans United for Separation of Church & State",1
"Nashvegans!","Nashville Filmmakers",1
"Nashvegans!","Developer Launchpad Nashville",1
"Nashvegans!","Nashville Area Gamer Association - NAGA",1
"Nashvegans!","PROVIDENT LIVING & SELF-RELIANCE",1
"Nashvegans!","One Dharma Nashville Meditation Group",1
"Nashvegans!","The Joy of Dining Out with Friends Meetup",3
"Nashvegans!","20s in Nashville",4
"Nashvegans!","Dine and Unwind in East Nashville",1
"Nashvegans!","Nashville Salesforce Admins & Developers Group",1
"Nashvegans!","Outdoor Fit - HIIT",1
"Nashvegans!","PyNash",1
"Nashvegans!","Nashville Tennis Meetup",1
"Nashvegans!","Nashville Pilgrimage Hiking & Walking Meetup Group",1
"Nashvegans!","What the Pho!",4
"Nashvegans!","Code for Nashville",1
"Nashvegans!","Women 'n' Wine of Green Hills",1
"Nashvegans!","Whole-Food Plant-Based Dieters",3
"Nashvegans!","Climb Nashville Meetup",1
"Nashvegans!","20&UP Tennis: Nashville",1
"Nashvegans!","Her Heart Project",1
"Nashvegans!","Conscious Nashville",1
"Nashvegans!","Agile Nashville User Group",1
"Nashvegans!","Drink-n-Draw",1
"Nashvegans!","Nashville Women Programmers",1
"Nashvegans!","A Guide to Regenerative Healing thru Nature's Abundance",1
"Nashvegans!","Soul Evolution, Ascension & Beyond of Nashville",1
"Nashvegans!","Music City Young Professionals",3
"Nashvegans!","Vegan Peace",2
"Nashvegans!","Movie Lovers:  New, Classic, and Foreign Films Meetup",1
"Nashvegans!","NashJS",1
"Nashvegans!","Nashville Animal Advocacy",7
"The Nashville Singer, Musician and Songwriter Meetup Group","WordPress Nashville",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Nashville Real Estate Investor Network",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Eat Love Nash",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Paid To Speak Entrepreneurs",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Nashville Spiritual Experiences Group",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Nashville 80s Music & More Meetup",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Nashville Hiking Meetup",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Nashville Virtual Reality Meetup",1
"The Nashville Singer, Musician and Songwriter Meetup Group","The Nashville Writers Meetup",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Intellectual Society of Greater Nashville",1
"The Nashville Singer, Musician and Songwriter Meetup Group","The Middle TN Red Sox Nation Meetup Group",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Paddle Adventures Unlimited",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Nashville Charismatic Liberals",1
"The Nashville Singer, Musician and Songwriter Meetup Group","The Nashville Songwriters Meetup Group",9
"The Nashville Singer, Musician and Songwriter Meetup Group","Nashville Cooking Lessons Meetup",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Women's  Business Network",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Nashville SEO & Internet Marketing, Over 1,600 Members!",3
"The Nashville Singer, Musician and Songwriter Meetup Group","Big East Fork Folk / Jazz Music Meetup",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Nashville UX",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Nashville Christian Singles",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Transition Nashville",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Nashville Online Entrepreneurs",3
"The Nashville Singer, Musician and Songwriter Meetup Group","Design Thinking Nashville",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Bellevue Free Mandarin/Korean Lessons Meetup",1
"The Nashville Singer, Musician and Songwriter Meetup Group","WOMEN ""Word of Mouth Entrepreneurial Networkers""",3
"The Nashville Singer, Musician and Songwriter Meetup Group","Sunday Assembly Nashville",1
"The Nashville Singer, Musician and Songwriter Meetup Group","The Nashville Microsoft Azure Users Group",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Center for Spiritual Living Nashville",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Nashville Product Meetup",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Oneness Nashville",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Happy Hour Networking for Charity",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Nashville Online Business Strategy Meetup",2
"The Nashville Singer, Musician and Songwriter Meetup Group","Nashville Young Professionals Meetup",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Nashville Sailing",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Stepping Out Social Dance Meetup",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Bellevue Business Networking Meetup",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Unity of Nashville Spirituality Meetup Group",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Greater Nashville Networking Group",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Nashville Filmmakers",2
"The Nashville Singer, Musician and Songwriter Meetup Group","Networking for Charity",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Nashville Amnesty International",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Nashville Digital Marketing Meetup",1
"The Nashville Singer, Musician and Songwriter Meetup Group","One Dharma Nashville Meditation Group",1
"The Nashville Singer, Musician and Songwriter Meetup Group","Nashville Networking Business Luncheon",1
"The Nashville Singer, Musician and Songwriter Meetup Group","20s in Nashville",2
"The Nashville Singer, Musician and Songwriter Meetup Group","Franklin AM - Networking",1
